id;resolvetype;resolvedetail;resoldeddate
1;Failed;../fake-data/blob/hipster.txt;2023-03-15T16:24:49
2;Transferred;../fake-data/blob/hipster.txt;2023-03-15T12:17:36
3;Passed;../fake-data/blob/hipster.txt;2023-03-15T21:00:04
4;Failed;../fake-data/blob/hipster.txt;2023-03-16T02:30:13
5;Failed;../fake-data/blob/hipster.txt;2023-03-16T04:07:59
6;Transferred;../fake-data/blob/hipster.txt;2023-03-15T09:35:41
7;Failed;../fake-data/blob/hipster.txt;2023-03-16T00:25:25
8;Transferred;../fake-data/blob/hipster.txt;2023-03-16T01:55:05
9;Passed;../fake-data/blob/hipster.txt;2023-03-15T16:36:31
10;Failed;../fake-data/blob/hipster.txt;2023-03-15T15:38:41
